candidate_id,candidate_name,city,district,subdistrict,latitude,longitude,location_type,rent_cost_estimation,road_access_level,parking_availability,visibility_score,h3_index,status
LOC_SMG_006,Kandidat Semarang 6,Semarang,Gunungpati,Sekaran,-7.081921,110.414996,Service Point,315000000,Low,High,65.83,H3_SMG_003,Candidate
LOC_SMG_007,Kandidat Semarang 7,Semarang,Gunungpati,Patemon,-7.090948,110.387879,Service Point,276000000,High,High,92.08,H3_SMG_027,Candidate
LOC_SMG_008,Kandidat Semarang 8,Semarang,Tembalang,Tembalang,-7.051819,110.445167,Service Point,237000000,High,High,73.39,H3_SMG_009,Candidate
LOC_YGY_001,Kandidat Yogyakarta 1,Yogyakarta,Gondokusuman,Terban,-7.792587,110.382404,Mobile Service Hub,292000000,High,High,50.26,H3_YGY_007,Candidate
LOC_YGY_002,Kandidat Yogyakarta 2,Yogyakarta,Kotagede,Prenggan,-7.832818,110.380055,New Branch,294000000,Low,Low,67.97,H3_YGY_022,Candidate
LOC_YGY_003,Kandidat Yogyakarta 3,Yogyakarta,Mantrijeron,Gedongkiwo,-7.796374,110.355192,Service Point,230000000,Medium,Medium,48.5,H3_YGY_021,Candidate
LOC_YGY_004,Kandidat Yogyakarta 4,Yogyakarta,Kotagede,Prenggan,-7.818329,110.409633,New Branch,127000000,High,Low,66.79,H3_YGY_008,Candidate
LOC_YGY_005,Kandidat Yogyakarta 5,Yogyakarta,Mantrijeron,Mantrijeron,-7.82259,110.352049,Mobile Service Hub,219000000,Medium,Low,65.79,H3_YGY_002,Candidate
LOC_YGY_006,Kandidat Yogyakarta 6,Yogyakarta,Mlati Sleman,Sinduadi,-7.73637,110.370892,New Branch,199000000,Medium,High,63.88,H3_YGY_027,Candidate
LOC_YGY_007,Kandidat Yogyakarta 7,Yogyakarta,Mantrijeron,Gedongkiwo,-7.823891,110.356413,Mobile Service Hub,215000000,High,Low,87.37,H3_YGY_019,Candidate
LOC_YGY_008,Kandidat Yogyakarta 8,Yogyakarta,Gondokusuman,Kotabaru,-7.769566,110.37637,Service Point,142000000,Low,Medium,71.95,H3_YGY_025,Candidate
LOC_SBY_001,Kandidat Surabaya 1,Surabaya,Rungkut,Kalirungkut,-7.308937,112.755687,Mobile Service Hub,231000000,Medium,Low,65.47,H3_SBY_011,Candidate
LOC_SBY_002,Kandidat Surabaya 2,Surabaya,Tandes,Manukan Kulon,-7.262007,112.682905,Service Point,284000000,Low,Low,94.93,H3_SBY_023,Candidate
LOC_SBY_003,Kandidat Surabaya 3,Surabaya,Tegalsari,Tegalsari,-7.261886,112.738292,New Branch,249000000,Medium,Medium,67.91,H3_SBY_021,Candidate
LOC_SBY_004,Kandidat Surabaya 4,Surabaya,Rungkut,Medokan Ayu,-7.311702,112.778744,Mobile Service Hub,249000000,Low,Medium,90.01,H3_SBY_016,Candidate
LOC_SBY_005,Kandidat Surabaya 5,Surabaya,Wiyung,Jajar Tunggal,-7.342414,112.698517,New Branch,188000000,High,High,94.84,H3_SBY_018,Candidate
LOC_SBY_006,Kandidat Surabaya 6,Surabaya,Sukolilo,Keputih,-7.275364,112.786604,Service Point,133000000,Medium,Low,93.16,H3_SBY_025,Candidate
LOC_SBY_007,Kandidat Surabaya 7,Surabaya,Kenjeran,Sidotopo Wetan,-7.235447,112.80566,Service Point,115000000,Medium,High,83.43,H3_SBY_003,Candidate
LOC_SBY_008,Kandidat Surabaya 8,Surabaya,Wonokromo,Darmo,-7.303839,112.740476,Service Point,225000000,Medium,Medium,70.82,H3_SBY_002,Candidate
